Market Name,Date,Sales,Sales YoY%,Dollar Volume,Dollar Volume YoY%,Average Price,Median Price,Active Listings EOM,Months Inventory
Austin,1/1/2025,462,-0.0435,317344134,-0.002,686892,516290,2519,3.54
Austin,12/1/2024,669,0.1475,481815963,0.2627,720203,535000,2319,3.25
Austin,11/1/2024,606,0.1477,455467449,0.2538,751596,546000,2942,4.17
Austin,10/1/2024,677,0.0628,499933396,0.112,738454,539000,3344,4.78
Austin,9/1/2024,605,-0.1479,424228099,-0.1339,701203,550000,3544,5.09
Austin,8/1/2024,718,-0.1841,506059164,-0.1681,704817,529000,3625,5.14
Austin,7/1/2024,760,-0.1069,528634771,-0.1401,695572,539950,3885,5.41
Austin,6/1/2024,749,-0.2246,539066694,-0.2684,719715,555000,3940,5.43
Austin,5/1/2024,918,-0.0991,679954737,-0.0798,740691,578750,3726,5.01
Austin,4/1/2024,891,0.177,647024578,0.1582,726177,545000,3232,4.29
Austin,3/1/2024,809,0.0319,560491749,0.0378,692820,535000,2662,3.59
Austin,2/1/2024,672,0.1256,449235273,0.0962,668504,513500,2326,3.15
Austin,1/1/2024,483,0.0455,317973496,0.0103,658330,499437,2096,2.86
Austin,12/1/2023,583,-0.0642,381586366,-0.0884,654522,500027,2180,2.98
Austin,11/1/2023,528,-0.0704,363274678,-0.0521,688020,515000,2802,3.81
Austin,10/1/2023,637,-0.023,449574540,-0.0297,705768,539085,2993,4.06
Austin,9/1/2023,710,-0.1158,489821154,-0.1312,689888,540000,3031,4.1
Austin,8/1/2023,880,0,608345091,-0.0451,691301,541000,2945,3.94
Austin,7/1/2023,851,0.0095,614761694,-0.0591,722399,550000,2956,3.96
Austin,6/1/2023,966,-0.1022,736875062,-0.1078,762810,596221,2962,3.97
Austin,5/1/2023,1019,-0.1268,738953520,-0.2185,725175,552000,2630,3.48
Austin,4/1/2023,757,-0.3168,558667185,-0.3565,738001,564900,2415,3.15
Austin,3/1/2023,784,-0.2693,540057509,-0.3604,688848,532245,2197,2.76
Austin,2/1/2023,597,-0.2833,409809403,-0.2968,686447,533000,1800,2.19
Austin,1/1/2023,462,-0.3428,314745670,-0.3146,681267,525000,1771,2.11
Austin,12/1/2022,623,-0.4573,418601876,-0.473,671913,523750,1826,2.12
Austin,11/1/2022,568,-0.4808,383230803,-0.4747,674702,515000,2353,2.6
Austin,10/1/2022,652,-0.3985,463324464,-0.3575,710620,552000,2671,2.82
Austin,9/1/2022,803,-0.3303,563785767,-0.2482,702099,555000,2701,2.74
Austin,8/1/2022,880,-0.3184,637088472,-0.2441,723964,558329,2423,2.38
Austin,7/1/2022,843,-0.3788,653384911,-0.3048,775071,625000,2495,2.37
Austin,6/1/2022,1076,-0.2342,825906053,-0.1707,767570,615000,1994,1.82
Austin,5/1/2022,1167,-0.103,945537166,0.0142,810228,654750,1097,0.98
Austin,4/1/2022,1108,-0.0805,868206515,0.0525,783579,639950,768,0.68
Austin,3/1/2022,1073,-0.0813,844336057,0.0854,786892,630000,554,0.49
Austin,2/1/2022,833,-0.0095,582804394,0.1582,699645,555000,374,0.33
Austin,1/1/2022,703,-0.1561,459243021,-0.0505,653261,550000,359,0.31
Austin,12/1/2021,1148,-0.1038,794319880,0.0196,691916,550000,554,0.48
Austin,11/1/2021,1094,-0.042,729509307,0.1537,666827,539950,820,0.7
Austin,10/1/2021,1084,-0.1404,721159432,-0.0173,665276,536000,1117,0.95
Austin,9/1/2021,1199,-0.072,749930435,0.0576,625463,524500,1250,1.05
Austin,8/1/2021,1291,0.0055,842872194,0.1653,652883,537500,1067,0.89
Austin,7/1/2021,1357,-0.0941,939881586,0.1462,692617,565000,1115,0.93
